schema,question,chosen
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees received a bonus greater than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",How many projects started in 2012?,SELECT project_name FROM projects WHERE start_year < 2012
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What employees joined after 2012?,UNKNOWN
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What projects started before 2008?,SELECT project_name FROM projects WHERE start_year < 2008
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees received a bonus greater than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What is the average age of employees in Sales?,"SELECT AVG(age) FROM employees WHERE department = ""Sales"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees have a bonus less than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",How many projects started in 2021?,SELECT project_name FROM projects WHERE start_year < 2021
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees have a bonus less than 10000?,SELECT * FROM bonuses WHERE bonus_amount > 10000
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What projects started before 2021?,SELECT project_name FROM projects WHERE start_year < 2021
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",How many projects started in 2022?,SELECT project_name FROM projects WHERE start_year < 2022
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees received a bonus greater than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What employees joined after 2011?,UNKNOWN
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Who are the employees in the HR department?,UNKNOWN
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What is the average age of employees in Finance?,"SELECT AVG(age) FROM employees WHERE department = ""Finance"""
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees were present on Monday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Monday"" AND status = ""Present"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees have a bonus less than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What projects started before 2010?,SELECT project_name FROM projects WHERE start_year < 2010
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",How many projects started in 2020?,SELECT project_name FROM projects WHERE start_year < 2020
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What projects started before 2020?,SELECT project_name FROM projects WHERE start_year < 2020
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees received a bonus greater than 5000?,SELECT * FROM bonuses WHERE bonus_amount > 5000
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What employees joined after 2007?,UNKNOWN
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees have a bonus less than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which departments have a manager with ID less than 209?,SELECT department_name FROM departments WHERE manager_id < 209
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Who are the employees in the IT department?,UNKNOWN
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What projects started before 2022?,SELECT project_name FROM projects WHERE start_year < 2022
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What employees joined after 2013?,UNKNOWN
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What projects started before 2011?,SELECT project_name FROM projects WHERE start_year < 2011
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees were present on Wednesday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Wednesday"" AND status = ""Present"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which departments have a manager with ID less than 134?,SELECT department_name FROM departments WHERE manager_id < 134
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",How many projects started in 2001?,SELECT project_name FROM projects WHERE start_year < 2001
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What employees joined after 2014?,UNKNOWN
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees were present on Monday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Monday"" AND status = ""Present"""
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which departments have a manager with ID less than 176?,SELECT department_name FROM departments WHERE manager_id < 176
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What employees joined after 2001?,UNKNOWN
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What projects started before 2005?,SELECT project_name FROM projects WHERE start_year < 2005
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which departments have a manager with ID less than 107?,SELECT department_name FROM departments WHERE manager_id < 107
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees were present on Wednesday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Wednesday"" AND status = ""Present"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What employees joined after 2008?,UNKNOWN
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What employees joined after 2016?,UNKNOWN
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What employees joined after 2022?,UNKNOWN
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What projects started before 2001?,SELECT project_name FROM projects WHERE start_year < 2001
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees received a bonus greater than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What is the average age of employees in Sales?,"SELECT AVG(age) FROM employees WHERE department = ""Sales"""
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees were present on Wednesday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Wednesday"" AND status = ""Present"""
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees were present on Wednesday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Wednesday"" AND status = ""Present"""
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees have a bonus less than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Who are the employees in the HR department?,UNKNOWN
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",How many projects started in 2017?,SELECT project_name FROM projects WHERE start_year < 2017
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees have a bonus less than 5000?,SELECT * FROM bonuses WHERE bonus_amount > 5000
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What projects started before 2019?,SELECT project_name FROM projects WHERE start_year < 2019
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What is the average age of employees in Finance?,"SELECT AVG(age) FROM employees WHERE department = ""Finance"""
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Who are the employees in the Finance department?,UNKNOWN
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees have a bonus less than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees were present on Friday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Friday"" AND status = ""Present"""
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees have a bonus less than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees received a bonus greater than 5000?,SELECT * FROM bonuses WHERE bonus_amount > 5000
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which departments have more than 7 employees?,INVALID QUERY
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What projects started before 2009?,SELECT project_name FROM projects WHERE start_year < 2009
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",How many projects started in 2012?,SELECT project_name FROM projects WHERE start_year < 2012
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which employees were present on Tuesday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Tuesday"" AND status = ""Present"""
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What projects started before 2009?,SELECT project_name FROM projects WHERE start_year < 2009
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What employees joined after 2013?,UNKNOWN
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees received a bonus greater than 10000?,SELECT * FROM bonuses WHERE bonus_amount > 10000
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees were present on Tuesday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Tuesday"" AND status = ""Present"""
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What projects started before 2007?,SELECT project_name FROM projects WHERE start_year < 2007
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What employees joined after 2018?,UNKNOWN
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What employees joined after 2012?,UNKNOWN
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What employees joined after 2000?,UNKNOWN
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",How many projects started in 2004?,SELECT project_name FROM projects WHERE start_year < 2004
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Who are the employees in the HR department?,UNKNOWN
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which departments have more than 14 employees?,INVALID QUERY
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What is the average age of employees in IT?,"SELECT AVG(age) FROM employees WHERE department = ""IT"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What employees joined after 2014?,UNKNOWN
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What employees joined after 2018?,UNKNOWN
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What projects started before 2008?,SELECT project_name FROM projects WHERE start_year < 2008
